[INFO]: 2025-07-04 00:59:59 - Connected to database: capbridge
[INFO]: 2025-07-04 01:00:16 - Connected to database: capbridge
[INFO]: 2025-07-04 01:00:37 - Connected to database: capbridge
[INFO]: 2025-07-04 01:00:48 - Connected to database: capbridge
[INFO]: 2025-07-04 01:00:56 - Connected to database: capbridge
[INFO]: 2025-07-04 01:00:58 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:05 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:12 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:15 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:18 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:22 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:24 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:28 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:33 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:37 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:39 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:44 - Connected to database: capbridge
[INFO]: 2025-07-04 01:01:46 - Connected to database: capbridge
[INFO]: 2025-07-04 01:03:08 - Connected to database: capbridge
[INFO]: 2025-07-04 01:03:10 - Connected to database: capbridge
[INFO]: 2025-07-04 01:03:23 - Connected to database: capbridge
[INFO]: 2025-07-04 01:03:30 - Connected to database: capbridge
[INFO]: 2025-07-04 01:03:33 - Connected to database: capbridge
[INFO]: 2025-07-04 01:03:44 - Connected to database: capbridge
[INFO]: 2025-07-04 01:04:36 - Connected to database: capbridge
[INFO]: 2025-07-04 01:04:55 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:01 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:09 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:17 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:27 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:30 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:31 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:37 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:42 - Connected to database: capbridge
[INFO]: 2025-07-04 01:05:59 - Connected to database: capbridge
[INFO]: 2025-07-04 01:06:02 - Connected to database: capbridge
[ERROR]: 2025-07-04 01:06:04 - In Server: USER_ALREADY_EXIST
[INFO]: 2025-07-04 01:06:11 - Project Detail success
[ERROR]: 2025-07-04 11:08:18 - In Server: Token is invalid
[ERROR]: 2025-07-04 11:08:21 - In Server: Token is invalid
[INFO]: 2025-07-04 11:09:10 - Connected to database: capbridge
[INFO]: 2025-07-04 11:09:30 - Connected to database: capbridge
[INFO]: 2025-07-04 11:09:35 - Connected to database: capbridge
[INFO]: 2025-07-04 11:09:49 - Connected to database: capbridge
[INFO]: 2025-07-04 11:10:01 - Connected to database: capbridge
[INFO]: 2025-07-04 11:10:06 - Connected to database: capbridge
[INFO]: 2025-07-04 11:10:10 - Connected to database: capbridge
[INFO]: 2025-07-04 11:10:22 - Connected to database: capbridge
[INFO]: 2025-07-04 11:10:27 - Connected to database: capbridge
[INFO]: 2025-07-04 11:10:30 - Connected to database: capbridge
[ERROR]: 2025-07-04 11:10:34 - In Server: Token is invalid
[INFO]: 2025-07-04 11:10:45 - Admin List User success
[INFO]: 2025-07-04 11:10:59 - Admin List User success
[INFO]: 2025-07-04 11:11:12 - Admin List User success
[INFO]: 2025-07-04 11:11:36 - Connected to database: capbridge
[INFO]: 2025-07-04 11:11:42 - Connected to database: capbridge
[INFO]: 2025-07-04 11:11:46 - Connected to database: capbridge
[INFO]: 2025-07-04 11:11:51 - Connected to database: capbridge
[INFO]: 2025-07-04 11:11:56 - Connected to database: capbridge
[INFO]: 2025-07-04 11:11:58 - Connected to database: capbridge
[INFO]: 2025-07-04 11:12:10 - Connected to database: capbridge
[INFO]: 2025-07-04 11:12:54 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:01 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:05 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:07 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:11 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:33 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:41 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:46 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:52 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:54 - Connected to database: capbridge
[INFO]: 2025-07-04 11:13:57 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:03 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:08 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:10 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:14 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:15 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:21 - Admin List User success
[INFO]: 2025-07-04 11:14:40 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:45 - Connected to database: capbridge
[INFO]: 2025-07-04 11:14:57 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:01 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:04 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:11 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:27 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:32 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:40 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:45 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:47 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:54 - Connected to database: capbridge
[INFO]: 2025-07-04 11:15:59 - Connected to database: capbridge
[INFO]: 2025-07-04 11:16:11 - Connected to database: capbridge
[INFO]: 2025-07-04 11:16:12 - Admin List User success
[INFO]: 2025-07-04 11:16:19 - Admin List User success
[INFO]: 2025-07-04 11:19:00 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:01 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:06 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:13 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:19 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:19 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:22 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:26 - Connected to database: capbridge
[INFO]: 2025-07-04 11:19:28 - Admin List User success
[INFO]: 2025-07-04 11:32:07 - Connected to database: capbridge
[INFO]: 2025-07-04 11:32:40 - Connected to database: capbridge
[INFO]: 2025-07-04 11:32:42 - Connected to database: capbridge
[INFO]: 2025-07-04 11:32:50 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:05 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:06 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:19 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:27 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:30 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:35 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:38 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:42 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:46 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:56 - Connected to database: capbridge
[INFO]: 2025-07-04 11:33:58 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:00 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:01 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:03 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:13 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:14 - Admin List User success
[INFO]: 2025-07-04 11:34:25 - Admin List User success
[INFO]: 2025-07-04 11:34:35 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:36 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:38 - Connected to database: capbridge
[INFO]: 2025-07-04 11:34:39 - Admin List User success
[INFO]: 2025-07-04 11:34:41 - Admin List User success
[INFO]: 2025-07-04 11:34:50 - Connected to database: capbridge
